CharID	Filename	Bytes	Width	Height	TagType	Status	UsedInFrames	PlacedVia
1	char001.jpg	55169	512	384	DefineBitsJPEG2	OK	F0,F94,F119,F151,F187,F196,F199,F260,F1780,F2010,F2070,F2170,F3130,F3140,F3410,F4542-4543,F4627,F4638,F4654-4655,F4733,F4741,F4754,F4839,F4841-4842,F4853,F4877-4878,F5000,F5911,F7000,F7024,F7039,F7050,F7074,F7089,F7100,F7124,F7139,F7150,F7174,F7189,F7200,F7224,F7239	3,137,150,159,193,256,282,363,364,391,392,393,396
6	char006.jpg	26810	512	384	DefineBitsJPEG2	OK	F1,F112,F214,F250,F260,F370,F1190,F2130,F2160,F2170,F2240,F3010,F3120,F3150,F3180,F3210,F3220,F3260,F3430,F3440,F3650,F4110,F4140,F4180,F4485,F4500,F4720,F4736,F4740,F5150,F5915,F6400,F6490,F7440,F7470,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	8,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
35	char035.jpg	36782	512	360	DefineBitsJPEG2	OK	F6,F10,F20,F51,F103,F270,F280,F335,F350,F390,F400,F620,F910,F929,F1440,F1690,F1720,F1730,F1830,F1840,F1850,F1870,F1900,F2020,F2530,F2680,F3440,F3450,F3660,F3670,F4050,F4160,F4499,F4585,F4600,F4617,F4760,F4766,F4805,F5157,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	37,57,172,186,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
54	char054.jpg	16397	512	384	DefineBitsJPEG2	OK	F9,F57,F138,F350,F430,F640,F660,F900,F1450,F1470,F1540,F1580,F2800,F2830,F2850,F2920,F3000,F4150,F4556,F4560,F5171,F5917,F7350,F7400,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	56,244,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
67	char067.jpg	19921	512	384	DefineBitsJPEG2	OK	F16,F73,F102,F120,F185,F400,F700,F980,F1480,F1760,F2060,F2880,F4660,F7420	69
72	char072.jpg	15112	512	384	DefineBitsJPEG2	OK	F21,F780,F800,F1240,F1650,F1710,F1840,F2040,F2060,F2110,F3080,F3140,F4531,F4632,F4690,F7360,F7697	74,253,571
75	char075.jpg	21530	512	384	DefineBitsJPEG2	OK	F22,F32,F70,F75,F86,F100,F700,F740,F760,F780,F800,F820,F929,F950,F959,F969,F1210,F1240,F1320,F1330,F1480,F1670,F1720,F1760,F1900,F2100,F4630,F4670,F5912	77,185
78	char078.jpg	33753	512	384	DefineBitsJPEG2	OK	F23,F98,F189,F437,F470,F1815,F2680,F4880,F5164,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	80,228,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
91	char091.jpg	32201	512	384	DefineBitsJPEG2	OK	F40,F118,F183,F720,F740,F760,F1710,F1910,F2860,F2880,F4680,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	93,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
107	char107.jpg	13153	512	384	DefineBitsJPEG2	OK	F58,F910,F999,F1410,F1425,F5901,F5904,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	109,566,571,577,580,583,586,589,599,602,607,610,613,616,619,622,625,628,631,636,639,642
110	char110.jpg	17406	512	384	DefineBitsJPEG2	OK	F59,F61,F80,F89,F111,F142,F191,F680,F1260,F1280,F1300,F1400,F1470,F1640,F2950,F2960,F2970,F3070,F3450,F3460,F4562,F4887,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	112,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
113	char113.jpg	13913	512	384	DefineBitsJPEG2	OK	F60,F570,F2580,F2600,F2690,F3040,F3260,F7664,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	115,238,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
116	char116.jpg	13944	512	384	DefineBitsJPEG2	OK	F67,F820,F840,F850,F860,F880,F890	118
119	char119.jpg	25323	512	384	DefineBitsJPEG2	OK	F68,F105,F127,F178,F640,F660,F680,F720,F900,F1261,F1280,F1300,F1400,F1440,F1450,F1460,F1530,F1700,F1790,F4570,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	121,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
123	char123.jpg	28235	512	360	DefineBitsJPEG2	OK	F74,F84,F164,F500,F1320,F1330,F1350,F1670,F1690,F2630,F2770,F4595,F4710,F5900,F5919,F7014,F7024,F7039,F7064,F7074,F7089,F7114,F7124,F7139,F7164,F7174,F7189,F7214,F7224,F7239,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	125,566,571,577,580,583,586,589,599,602,607,610,613,616,619,622,625,628,631,636,639,642
145	char145.jpg	17658	512	360	DefineBitsJPEG2	OK	F139,F1970,F2010,F2850,F2860,F3310,F4544,F4559,F4627	147
151	char151.jpg	19206	512	384	DefineBitsJPEG2	OK	F158,F175,F1480,F1540,F1650,F1670,F1910,F1920,F1930,F1950,F1970,F2010,F3130,F4598,F4625,F4650	153
162	char162.jpg	10435	256	300	DefineBitsJPEG2	OK	F199,F3160,F3180,F6040,F7715	165,260,594
166	char166.jpg	31620	512	360	DefineBitsJPEG2	OK	F200,F5204,F5906,F5913	168
169	char169.jpg	30890	512	384	DefineBitsJPEG2	OK	F370,F390,F5902,F5910,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	171,566,571,577,580,583,586,589,594,599,602,607,610,613,616,619,622,625,628,631,636,639,642
173	char173.jpg	9932	512	384	DefineBitsJPEG2	OK	F1080,F2200,F6080,F7694,F7739,F7742	175,566,622,625
176	char176.jpg	17689	512	384	DefineBitsJPEG2	OK	F1090,F2200,F7697	178,571
179	char179.jpg	16472	512	384	DefineBitsJPEG2	OK	F1100,F1175,F5900,F5903,F7540	181
182	char182.jpg	20033	512	384	DefineBitsJPEG2	OK	F1410,F1425,F1500,F4502,F4734,F4739	184
187	char187.jpg	27348	512	384	DefineBitsJPEG2	OK	F1730,F1850,F1870,F1880,F2260,F2340,F2430,F2520,F2530,F2650,F3460,F4610,F4620,F4769,F4800,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7718,F7721,F7724,F7727,F7730,F7733,F7736,F7739,F7742,F7745,F7748,F7751,F7754,F7757	189,566,571,577,580,583,586,589,599,602,607,610,613,616,619,622,625,628,631,636,639,642
190	char190.jpg	41113	540	360	DefineBitsJPEG2	OK	F1740,F4550,F7718,F7721,F7727,F7730,F7733,F7748,F7751	192,599,602,610,613,616,631,636
194	char194.jpg	29457	512	384	DefineBitsJPEG2	OK	F2130,F2170,F2240,F3650,F3660,F7490,F7540,F7700,F7703,F7706,F7709,F7712,F7724,F7736,F7745,F7754,F7757	195,196,577,580,583,586,589,607,619,628,639,642
197	char197.jpg	32013	512	384	DefineBitsJPEG2	OK	F2190,F5905,F7250,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7715,F7724,F7736,F7739,F7742,F7745,F7754,F7757	199,566,571,577,580,583,586,589,594,607,619,622,625,628,639,642
200	char200.jpg	27473	512	384	DefineBitsJPEG2	OK	F2220	202
203	char203.jpg	23370	512	360	DefineBitsJPEG2	OK	F2260,F2320,F2373,F2430,F2460,F2490,F2570,F2630,F2660,F2690,F2710,F2760,F4762,F4770,F4846,F4876,F7715	205,594
206	char206.jpg	65621	512	767	DefineBitsJPEG2	OK	F2270,F2320,F2350,F7700,F7703,F7706,F7709,F7712,F7724,F7736,F7745,F7754,F7757	208,577,580,583,586,589,607,619,628,639,642
209	char209.jpg	36278	512	360	DefineBitsJPEG2	OK	F2470,F2490,F2500,F2550,F2580,F2620,F2660,F2670,F3490,F3500,F4830,F4870,F7718,F7721,F7727,F7730,F7733,F7748,F7751	211,218,599,602,610,613,616,631,636
220	char220.jpg	20033	512	360	DefineBitsJPEG2	OK	F2500,F2720,F3200,F3220,F3360,F3480,F4090,F7715,F7718,F7721,F7727,F7730,F7733,F7748,F7751	222,261,594,599,602,610,613,616,631,636
225	char225.jpg	28953	512	384	DefineBitsJPEG2	OK	F2600,F3230,F3250,F3370,F3640,F4000,F4049,F4080,F4100,F4110,F4200,F4400,F4430,F4711,F6251,F7694,F7700,F7706,F7733,F7739,F7742,F7757	227,566,577,583,616,622,625,642
245	char245.jpg	17063	512	384	DefineBitsJPEG2	OK	F2910,F3330,F3350,F3370,F3410,F3620,F4040,F4230,F4462,F4563,F4750,F7715	247,594
262	char262.jpg	25592	512	360	DefineBitsJPEG2	OK	F3230,F3380,F4410,F7700,F7703,F7706,F7709,F7712,F7736,F7745,F7751,F7754,F7757	264,577,580,583,586,589,619,628,636,639,642
265	char265.jpg	21639	533	360	DefineBitsJPEG2	OK	F3240,F3380,F3500,F3620,F3670,F7697,F7715,F7745	267,571,594,628
268	char268.jpg	17050	512	360	DefineBitsJPEG2	OK	F3280	272
276	char276.jpg	19908	512	360	DefineBitsJPEG2	OK	F3340,F3350,F7715	278,594
283	char283.jpg	26703	512	360	DefineBitsJPEG2	OK	F3590,F4421,F6440,F6480,F7709	285,586
290	char290.jpg	19010	512	384	DefineBitsJPEG2	OK	F3630,F4470,F6300,F6380,F6410	292
293	char293.jpg	21154	512	384	DefineBitsJPEG2	OK	F3690,F7470,F7520,F7724	295,607
296	char296.jpg	17231	512	360	DefineBitsJPEG2	OK	F4010,F4020,F4070,F4100,F4130,F4190,F7718,F7721,F7727,F7730,F7733,F7748	298,599,602,610,613,616,631
333	char333.jpg	35409	512	360	DefineBitsJPEG2	OK	F4451,F6480,F7703	335,580
402	char402.jpg	25193	512	384	DefineBitsJPEG2	OK	F5151,F5914,F5921,F5930,F6380,F6400	404
439	char439.jpg	30924	800	360	DefineBitsJPEG2	OK	F5916,F5918,F6000,F7694,F7697,F7700,F7703,F7706,F7709,F7712,F7736,F7739,F7742,F7745,F7754,F7757	441,566,571,577,580,583,586,589,619,622,625,628,639,642
466	char466.jpg	52832	240	309	DefineBitsJPEG2	OK	F6080	468
471	char471_definebits.jpg	26096	226	161	DefineBits	OK	F6086	473
474	char474.jpg	34118	512	767	DefineBitsJPEG2	OK	F6120,F7697	476,571
477	char477.jpg	23363	512	360	DefineBitsJPEG2	OK	F6270	479
