Frame	Filename	Bytes	DefineCount	DisplayDepths
0	face_F000.swf	1659	2	1
1	face_F001.swf	6706	9	1
2	face_F002.swf	6741	9	1
3	face_F003.swf	6774	9	1
4	face_F004.swf	5985	8	1
5	face_F005.swf	6062	9	1
6	face_F006.swf	6064	11	1
7	face_F007.swf	6726	9	1
8	face_F008.swf	6759	9	1
9	face_F009.swf	6801	10	1
10	face_F010.swf	5981	9	1
11	face_F011.swf	6203	9	1
12	face_F012.swf	6235	9	1
13	face_F013.swf	6702	9	1
14	face_F014.swf	6069	9	1
15	face_F015.swf	6710	9	1
16	face_F016.swf	6763	9	1
17	face_F017.swf	8469	12	1
18	face_F018.swf	7908	11	1
19	face_F019.swf	7891	11	1
20	face_F020.swf	8068	13	1
21	face_F021.swf	6306	11	1
22	face_F022.swf	7945	11	1
23	face_F023.swf	6222	9	1
24	face_F024.swf	6177	9	1
25	face_F025.swf	6723	9	1
26	face_F026.swf	28	0	0
27	face_F027.swf	28	0	0
28	face_F028.swf	28	0	0
29	face_F029.swf	28	0	0
30	face_F030.swf	6633	9	1
31	face_F031.swf	6684	9	1
32	face_F032.swf	6250	9	1
33	face_F033.swf	6350	11	1
34	face_F034.swf	6701	9	1
35	face_F035.swf	6802	9	1
36	face_F036.swf	7824	11	1
37	face_F037.swf	6626	9	1
38	face_F038.swf	7810	11	1
39	face_F039.swf	6809	9	1
40	face_F040.swf	8338	12	1
41	face_F041.swf	6706	9	1
42	face_F042.swf	7436	11	1
43	face_F043.swf	7424	11	1
44	face_F044.swf	7880	11	1
45	face_F045.swf	6745	11	1
46	face_F046.swf	6109	10	1
47	face_F047.swf	6230	9	1
48	face_F048.swf	6701	9	1
49	face_F049.swf	28	0	0
50	face_F050.swf	5446	9	1
51	face_F051.swf	5497	9	1
52	face_F052.swf	5063	9	1
53	face_F053.swf	5238	11	1
54	face_F054.swf	5514	9	1
55	face_F055.swf	5615	9	1
56	face_F056.swf	6637	11	1
57	face_F057.swf	5439	9	1
58	face_F058.swf	6623	11	1
59	face_F059.swf	5622	9	1
60	face_F060.swf	7151	12	1
61	face_F061.swf	5519	9	1
62	face_F062.swf	6249	11	1
63	face_F063.swf	6242	11	1
64	face_F064.swf	6693	11	1
65	face_F065.swf	5514	9	1
66	face_F066.swf	6763	12	1
67	face_F067.swf	7151	12	1
68	face_F068.swf	5512	9	1
69	face_F069.swf	28	0	0
70	face_F070.swf	28	0	0
71	face_F071.swf	28	0	0
72	face_F072.swf	28	0	0
73	face_F073.swf	28	0	0
74	face_F074.swf	28	0	0
75	face_F075.swf	28	0	0
76	face_F076.swf	28	0	0
77	face_F077.swf	28	0	0
78	face_F078.swf	28	0	0
79	face_F079.swf	28	0	0
80	face_F080.swf	4607	11	1
81	face_F081.swf	4031	11	1
82	face_F082.swf	4105	13	1
83	face_F083.swf	4656	11	1
84	face_F084.swf	4643	11	1
85	face_F085.swf	28	0	0
86	face_F086.swf	28	0	0
87	face_F087.swf	28	0	0
88	face_F088.swf	28	0	0
89	face_F089.swf	28	0	0
90	face_F090.swf	7893	11	1
91	face_F091.swf	8421	12	1
92	face_F092.swf	28	0	0
93	face_F093.swf	28	0	0
94	face_F094.swf	28	0	0
95	face_F095.swf	28	0	0
96	face_F096.swf	28	0	0
97	face_F097.swf	28	0	0
98	face_F098.swf	28	0	0
99	face_F099.swf	28	0	0
100	face_F100.swf	4511	9	1
101	face_F101.swf	4504	9	1
102	face_F102.swf	4128	9	1
103	face_F103.swf	5688	11	1
104	face_F104.swf	28	0	0
